央视,#genre#
CCTV1,http://39.135.6.18:6610/000000001001/6000000001000029752/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000029752
CCTV1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV1,http://111.12.110.63:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV2,http://39.135.6.18:6610/000000001001/6000000001000014161/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000014161
CCTV2,http://111.12.110.63:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://39.135.6.18:6610/000000001001/6000000001000022313/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000022313
CCTV3,http://111.12.110.63:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV3,http://wtv.weetai.cn/iptv/2022/tyzb16.php?id=cctv3
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV4,http://39.135.6.18:6610/000000001000/5000000005000030093/1.m3u8?Contentid=5000000005000030093&livemode=1&stbId=3&channel-id=bestzb
CCTV4,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://111.12.110.63:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV4K,https://p.ggiptv.com/v/4k.m3u8
CCTV5,http://39.135.6.18:6610/000000001001/6000000001000016431/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000016431
CCTV5,http://111.12.110.63:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV5+,http://39.135.6.18:6610/000000001001/6000000001000015875/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000015875
CCTV5+,http://111.12.110.63:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV6,http://39.135.6.18:6610/000000001001/6000000001000004574/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000004574
CCTV6,https://live.olelive.com:4443/live/CCTV6HD/hls.m3u8
CCTV6,http://111.12.110.63:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://39.135.6.18:6610/000000001001/6000000001000009055/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000009055
CCTV7,http://111.12.110.63:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.6.18:6610/000000001001/6000000001000001070/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000001070
CCTV8,http://111.12.110.63:6610/PLTV/77777777/224/3221225716/index.m3u8?
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.135.6.18:6610/000000001001/6000000001000032162/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000032162
CCTV9,http://111.12.110.63:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.135.6.18:6610/000000001001/6000000001000031506/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000031506
CCTV10,http://111.12.110.63:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV11,http://39.135.6.18:6610/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=3
CCTV11,http://111.12.110.63:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV12,http://39.135.6.18:6610/000000001001/6000000001000022586/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000022586
CCTV12,http://111.12.110.63:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV12,http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,https://live.olelive.com:4443/live/CCTV13HD/hls.m3u8
CCTV13,http://111.12.110.63:6610/PLTV/77777777/224/3221225759/index.m3u8?
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.6.18:6610/000000001001/6000000001000013647/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000013647
CCTV14,http://111.12.110.63:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV15,http://39.135.6.18:6610/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=0
CCTV15,http://111.12.110.63:6610/PLTV/77777777/224/3221225693/index.m3u8?
